日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,右边FWD DUCT,右边AFT DUCT,右边L PACK,执行反吹左侧,执行反吹右侧,更换部件,Fail,左温差,右温差
2019-05-17 23:16,DLC,1505,737-800,18,4,28,4,3,25,,,,,10,7
2019-05-17 22:59,海口,206H,737-800,30,3,26,3,3,32,,,,,-4,2
2019-05-17 22:55,XIY,5153,737-800,25,5,26,4,4,25,,,,,1,0
2019-05-17 22:46,CGO,205U,737-800,20,4,28,5,4,28,,,,,8,8
2019-05-17 22:45,SYX,7619,737-800,31,5,30,5,6,33,,,,,-1,2
2019-05-17 22:40,XNN,5852,737-800,16,7,21,5,5,21,,,,,5,5
2019-05-17 22:32,SZX,5580,737-800,25,6,35,7,7,36,,,,,10,11
2019-05-17 22:29,HAK,7399,737-800,30,4,32,3,4,31,,,,,2,1
2019-05-17 22:26,HAK,7886,737-800,29,4,35,4,4,37,,,,,6,8
2019-05-17 22:04,TYN,1488,737-800,23,6,26,4,4,24,,,,,3,1
2019-05-17 22:02,URC,1735,737-800,13,4,22,5,4,20,,,,,9,7
2019-05-17 21:57,URC,205V,737-800,12,2,29,1,2,22,,,,,17,10
2019-05-17 21:38,XNN,1548,737-800,17,7,19,5,5,18,,,,,2,1
2019-05-17 21:36,MIG,7990,737-800,20,2,28,3,4,28,,,,,8,8
2019-05-17 21:35,DLC,7400,737-800,19,5,27,5,5,28,,,,,8,9
2019-05-17 21:35,ZGC,5135,737-800,15,6,21,7,6,20,,,,,6,5
2019-05-17 21:18,TYN,1495,737-800,25,6,26,4,4,24,,,,,1,-1
2019-05-17 20:53,CGO,7993,737-800,27,5,29,4,5,25,,,,,2,-2
2019-05-17 20:31,FOC,7113,737-800,24,4,30,4,4,31,,,,,6,7
2019-05-17 20:18,HAK,5089,737-800,32,8,32,6,6,36,,,,,0,4
2019-05-17 19:48,FOC,1209,737-800,24,4,30,4,4,30,,,,,6,6
2019-05-17 19:34,URC,1325,737-800,15,4,22,4,4,20,,,,,7,5
2019-05-17 18:20,HAK,5405,737-800,33,8,37,6,6,36,,,,,4,3
2019-05-17 17:11,PEK ,5372,737-800,25,6,28,7,7,30,,,,,3,5
2019-05-17 16:48,XUZ,7991,737-800,23,6,32,6,6,30,,,,,9,7
2019-05-17 15:35,YIH,7395,737-800,33,6,26,8,7,29,,,,,-7,-4
2019-05-17 14:21,PEK,5539,737-800,31,4,27,4,4,24,,,,,-4,-7
2019-05-17 11:20,CTU,7992,737-800,25,7,20,8,7,30,,,,,-5,5
2019-05-17 11:13,XIY,5467,737-800,30,2,28,4,2,24,,,,,-2,-6
2019-05-17 10:57,HAK,1483,737-800,34,8,30,6,7,31,,,,,-4,-3
2019-05-17 10:26,PEK,5538,737-800,25,8,35,3,3,32,,,,,10,7
2019-05-17 09:29,SZX,1549,737-800,28,6,36,8,6,34,,,,,8,6
2019-05-17 09:03,PEK,5136,737-800,25,7,33,6,5,37,,,,,8,12
2019-05-17 08:00,KMG,7989,737-800,20,5,27,6,6,27,,,,,7,7
2019-05-17 07:59,KMG,7989,737-800,20,5,27,6,6,27,,,,,7,7
2019-05-17 07:52,ZGC ,5463,737-800,15,4,20,5,6,19,,,,,5,4
2019-05-17 07:46,KMG,5732,737-800,20,2,20,2,3,23,,,,,0,3
2019-05-17 07:39,XIY,5406,737-800,16,4,26,6,3,0,,,,,10,-16
2019-05-17 07:34,HAK,5405,737-800,29,8,36,6,5,35,,,,,7,6
2019-05-17 07:34,FOC,1559,737-800,22,4,31,3,3,30,,,,,9,8
2019-05-17 07:33,FOC,1559,737-800,22,4,34,3,3,30,,,,,12,8
2019-05-17 07:32,CGO,1208,737-800,23,3,28,3,3,26,,,,,5,3
2019-05-17 07:28,CAN,1102,737-800,30,4,36,4,5,34,,,,,6,4
2019-05-17 07:27,HAK,1386,737-800,28,3,28,3,3,28,,,,,0,0
2019-05-17 06:58,CAN,1727,737-800,28,5,35,4,4,34,,,,,7,6
2019-05-17 06:51,CAN,7886,737-800,28,4,36,4,3,36,,,,,8,8
2019-05-17 06:49,CAN,1491,737-800,30,6,36,6,6,35,,,,,6,5
2019-05-17 06:48,CAN,5521,737-800,29,4,32,4,6,30,,,,,3,1
2019-05-17 06:47,CAN,5373,737-800,29,3,33,6,6,36,,,,,4,7
2019-05-17 06:45,CAN,1373,737-800,30,4,34,4,4,33,,,,,4,3
2019-05-17 06:41,TYN,7172,737-800,23,5,28,5,4,22,,,,,5,-1
2019-05-17 06:21,XMN,5686,737-800,26,6,30,4,4,30,,,,,4,4
2019-05-17 06:20,XMN,5662,737-800,26,6,28,4,4,28,,,,,2,2
2019-05-17 06:19,XMN,5481,737-800,25,4,32,5,4,31,,,,,7,6
2019-05-17 06:19,PEK,7619,737-800,25,5,25,5,6,27,,,,,0,2
2019-05-17 06:19,XMN,6062,737-800,20,2,27,4,3,34,,,,,7,14
2019-05-17 06:11,HAK,6063,737-800,28,5,35,7,8,36,,,,,7,8
2019-05-17 05:52,PEK,6106,737-800,22,6,30,5,5,30,,,,,8,8
2019-05-17 05:47,FOC,7105,737-800,23,5,29,6,4,29,,,,,6,6
2019-05-17 05:47,PEK,5467,737-800,27,4,28,4,2,26,,,,,1,-1
2019-05-17 05:44,URC,1325,737-800,9,4,21,4,4,20,,,,,12,11
2019-05-17 05:39,XIY,5359,737-800,15,6,25,6,6,26,,,,,10,11
2019-05-17 05:30,XIY,1348,737-800,20,4,26,5,4,25,,,,,6,5
2019-05-17 05:28,HAK,5733,737-800,29,9,36,8,7,37,,,,,7,8
2019-05-17 05:27,XIY,1481,737-800,20,5,26,5,5,26,,,,,6,6
2019-05-17 05:19,PEK,5538,737-800,25,35,8,3,3,32,,,,,-17,7
2019-05-17 05:17,XIY,1480,737-800,16,4,17,3,4,16,,,,,1,0
2019-05-17 05:11,PEK,5428,737-800,26,4,29,4,3,30,,,,,3,4
2019-05-17 05:08,XIY,1163,737-800,16,2,30,3,2,28,,,,,14,12
2019-05-17 04:58,PEK,5428,737-800,23,4,29,4,3,30,,,,,6,7
2019-05-17 04:56,XIY ,1903,737-800,18,6,25,4,5,25,,,,,7,7
2019-05-17 04:54,CKG,5141,737-800,21,6,25,6,5,28,,,,,4,7
2019-05-17 04:53,PEK,5520,737-800,22,3,25,5,3,26,,,,,3,4
2019-05-17 04:51,XIY,1483,737-800,17,5,24,5,6,23,,,,,7,6
2019-05-17 04:51,FOC,1905,737-800,22,4,29,4,4,25,,,,,7,3
2019-05-17 04:46,XIY ,1482,737-800,18,6,25,4,5,25,,,,,7,7
2019-05-17 04:42,KMG,1209,737-800,20,4,28,4,4,25,,,,,8,5
2019-05-17 04:36,SYX,7618,737-800,30,6,34,6,4,34,,,,,4,4
2019-05-17 04:35,KMG,6809,737-800,20,5,23,6,6,24,,,,,3,4
2019-05-17 04:34,HAK,1487,737-800,25,3,34,3,2,32,,,,,9,7
2019-05-17 04:10,HAK,5371,737-800,30,8,36,7,8,36,,,,,6,6
2019-05-17 04:09,SYX,6808   ,737-800,28,6,34,7,8,30,,,,,6,2
2019-05-17 04:08,SYX,1372    ,737-800,28,4,36,4,4,32,,,,,8,4
2019-05-17 04:06,URC,5623,737-800,8,5,24,6,6,21,,,,,16,13
2019-05-17 04:05,FOC,1906,737-800,22,7,24,7,6,30,,,,,2,8
2019-05-17 04:03,XIY,1161,737-800,17,4,27,3,3,26,,,,,10,9
2019-05-17 04:00,CGO,7993,737-800,23,6,29,6,6,27,,,,,6,4
2019-05-17 03:59,SYX,1997,737-800,29,7,37,4,3,33,1,,,1,8,4
2019-05-17 03:55,URC,2157,737-800,11,4,21,8,9,20,,,,,10,9
2019-05-17 03:51,HHA,5581,737-800,22,6,23,5,5,27,,,,,1,5
2019-05-17 03:49,URC,1726,737-800,10,4,24,4,4,24,,,,,14,14
2019-05-17 03:48,HHA,1347,737-800,22,4,28,4,4,27,,,,,6,5
2019-05-17 03:48,URC,1929,737-800,10,4,24,4,4,24,,,,,14,14
2019-05-17 03:47,XIY,1482,737-800,17,6,30,6,6,26,,,,,13,9
2019-05-17 03:44,HGH,5540,737-800,23,5,34,5,4,30,1,,,1,11,7
2019-05-17 03:42,HGH,1729,737-800,25,4,23,4,4,24,,,,,-2,-1
2019-05-17 03:39,SZX,1995,737-800,28,6,36,6,6,36,,,,,8,8
2019-05-17 03:37,HAK,7639,737-800,28,6,36,8,7,36,,,,,8,8
2019-05-17 03:37,SZX,1733,737-800,28,2,32,3,3,31,,,,,4,3
2019-05-17 03:36,FOC,5430,737-800,23,5,31,6,6,31,,,,,8,8
2019-05-17 03:22,HAK,1793,737-800,28,4,37,4,4,32,1,,,1,9,4
2019-05-17 03:19,HRB,1562,737-800,16,4,26,3,4,26,,,,,10,10
2019-05-17 03:19,URC,5637,737-800,12,2,23,2,2,18,,,,,11,6
2019-05-17 03:18,西安,5116,737-800,16,3,22,3,4,23,,,,,6,7
2019-05-17 03:17,HRB,1350,737-800,17,4,28,4,4,24,,,,,11,7
2019-05-17 03:16,PEK,1489,737-800,30,4,28,4,4,27,,,,,-2,-3
2019-05-17 03:11,URC,5661,737-800,10,4,20,4,4,20,,,,,10,10
2019-05-17 03:11,URC,6268,737-800,11,2,26,4,5,22,,,,,15,11
2019-05-17 03:10,URC,205T,737-800,8,3,23,4,4,21,,,,,15,13
2019-05-17 03:09,FOC,5182,737-800,24,3,29,3,4,29,,,,,5,5
2019-05-17 03:08,FOC,5182,737-800,24,3,33,3,4,30,,,,,9,6
2019-05-17 03:05,HAK,5709,737-800,29,4,34,4,3,34,,,,,5,5
2019-05-17 03:04,HRB,1433,737-800,16,4,26,2,2,20,,,,,10,4
2019-05-17 03:04,XIY,5115,737-800,17,2,19,3,3,15,,,,,2,-2
2019-05-17 03:02,HAK,5429,737-800,30,4,34,6,6,36,,,,,4,6
2019-05-17 02:59,PEK,1103,737-800,30,4,30,4,5,28,,,,,0,-2
2019-05-17 02:58,KMG,1588,737-800,15,4,24,6,6,24,,,,,9,9
2019-05-17 02:57,KMG,1588,737-800,15,4,24,6,6,24,,,,,9,9
2019-05-17 02:55,CGO,7988,737-800,24,5,32,4,4,30,,,,,8,6
2019-05-17 02:53,绵阳,5409,737-800,24,4,26,4,4,28,,,,,2,4
2019-05-17 02:51,海口,1213,737-800,29,7,37,7,6,36,,,,,8,7
2019-05-17 02:50,HGH,1927,737-800,25,3,26,5,3,26,,,,,1,1
2019-05-17 02:50,HHA,6066,737-800,20,3,30,2,2,28,,,,,10,8
2019-05-17 02:50,SYX,206F,737-800,29,2,34,3,3,32,,,,,5,3
2019-05-17 02:47,HHA,5735,737-800,21,1,29,1,1,26,,,,,8,5
2019-05-17 02:45,HHA ,5480,737-800,21,4,26,5,4,17,,,,,5,-4
2019-05-17 02:44,URC,1725,737-800,10,4,26,4,4,26,,,,,16,16
2019-05-17 02:41,URC,1996,737-800,10,4,20,4,4,22,,,,,10,12
2019-05-17 02:39,SZX,1785,737-800,26,4,34,5,5,34,,,,,8,8
2019-05-17 02:38,HGH,1545,737-800,24,5,32,5,4,31,,,,,8,7
2019-05-17 02:38,FOC,7377,737-800,22,6,30,6,6,30,,,,,8,8
2019-05-17 02:34,SZX,5417,737-800,28,6,36,5,5,34,,,,,8,6
2019-05-17 02:28,URC ,1322,737-800,11,3,23,4,4,23,,,,,12,12
2019-05-17 02:22,SYX,5408,737-800,29,7,36,6,6,34,,,,,7,5
2019-05-17 02:19,104,1490,737-800,24,3,30,4,5,28,,,,,6,4
2019-05-17 02:18,HAK,5089,737-800,25,7,24,3,2,25,,,,,-1,0
2019-05-17 02:13,URC,6995,737-800,13,4,24,5,4,20,,,,,11,7
2019-05-17 02:10,XIY,1902,737-800,16,4,26,4,4,24,,,,,10,8
2019-05-17 02:06,HAK,5797,737-800,29,5,30,6,5,32,,,,,1,3
2019-05-17 02:06,KMG ,7911,737-800,18,5,26,5,4,25,,,,,8,7
2019-05-17 02:04,TYN,5099,737-800,20,2,25,2,2,22,,,,,5,2
2019-05-17 02:03,HAK,7616,737-800,28,4,34,4,5,34,,,,,6,6
2019-05-17 02:02,XIY,1542,737-800,15,2,28,4,2,30,,,,,13,15
2019-05-17 02:02,XIY,1797,737-800,15,4,30,2,2,26,,,,,15,11
2019-05-17 02:01,TYN,6060,737-800,20,5,26,6,6,25,,,,,6,5
2019-05-17 01:56,绵阳,7990,737-800,24,3,28,3,3,27,,,,,4,3
2019-05-17 01:54,URC,5712,737-800,10,2,18,5,2,18,,,,,8,8
2019-05-17 01:53,XIY ,5416,737-800,18,7,26,6,6,24,,,,,8,6
2019-05-17 01:53,PEK,5439,737-800,24,4,28,4,4,28,,,,,4,4
2019-05-17 01:52,CGO,1587,737-800,25,3,29,3,4,29,,,,,4,4
2019-05-17 01:49,URC,5137,737-800,8,2,12,2,2,20,,,,,4,12
2019-05-17 01:45,PEK,5580,737-800,27,6,30,5,6,28,,,,,3,1
2019-05-17 01:44,HAK,5483,737-800,28,6,36,6,6,38,,1,,1,8,10
2019-05-17 01:43,XIY,5153,737-800,17,4,27,4,4,26,,,,,10,9
2019-05-17 01:42,ZGC,5135,737-800,15,7,25,4,3,22,,,,,10,7
2019-05-17 01:40,DLC,6061,737-800,21,4,26,4,4,26,,,,,5,5
2019-05-17 01:40,SYX,1215,737-800,28,3,33,2,2,35,,,,,5,7
2019-05-17 01:39,DLC,1141,737-800,22,6,27,6,6,26,,,,,5,4
2019-05-17 01:38,HAK,5479,737-800,29,8,34,6,8,36,,,,,5,7
2019-05-17 01:37,URC,6995,737-800,13,4,24,5,4,20,,,,,11,7
2019-05-17 01:35,HGH,5358,737-800,25,6,28,6,6,30,,,,,3,5
2019-05-17 01:35,HGH,7175,737-800,22,5,30,6,4,30,,,,,8,8
2019-05-17 01:31,HHA,5478,737-800,20,2,20,4,4,20,,,,,0,0
2019-05-17 01:25,HHA,1783,737-800,22,4,32,4,4,31,1,,,1,10,9
2019-05-17 01:19,HHA,5638,737-800,21,4,28,4,4,28,,,,,7,7
2019-05-17 01:14,HAK,5502,737-800,30,8,35,6,5,34,,,,,5,4
2019-05-17 01:14,SZX,5466,737-800,28,8,31,9,9,35,,,,,3,7
2019-05-17 01:13,103,5338,737-800,25,3,28,3,3,29,,,,,3,4
2019-05-17 01:12,SYX,7379,737-800,28,4,36,4,4,36,,,,,8,8
2019-05-17 01:11,URC,1496,737-800,8,5,26,5,5,25,,,,,18,17
2019-05-17 01:10,HGH,1501,737-800,23,4,31,4,3,27,,,,,8,4
2019-05-17 01:02,YIH,1351,737-800,24,4,30,4,4,30,,,,,6,6
2019-05-17 01:01,XIY,5180,737-800,18,6,30,6,6,28,,,,,12,10
2019-05-17 00:58,HAK,5853,737-800,29,6,34,6,6,30,,,,,5,1
2019-05-17 00:55,DLC,1375,737-800,17,4,26,4,4,24,,,,,9,7
2019-05-17 00:51,TYN,206G,737-800,20,4,26,4,4,25,,,,,6,5
2019-05-17 00:41,HAK,1130,737-800,30,2,37,4,3,36,1,,,1,7,6
2019-05-17 00:41,HAK,5687,737-800,30,6,32,8,7,32,,,,,2,2
2019-05-17 00:41,大连,1787,737-800,17,3,26,4,4,26,,,,,9,9
2019-05-17 00:32,绵阳,5449,737-800,25,5,28,5,5,27,,,,,3,2
2019-05-17 00:29,KHG,1570,737-800,17,4,21,4,5,19,,,,,4,2
2019-05-17 00:26,SZX,1541,737-800,28,5,35,6,5,36,,,,,7,8
2019-05-17 00:24,西安,7378,737-800,17,7,29,5,5,28,,,,,12,11
2019-05-17 00:18,URC,5625,737-800,10,4,24,4,4,20,,,,,14,10
2019-05-17 00:17,HAK,5855,737-800,28,6,32,4,4,30,,,,,4,2
2019-05-17 00:15,CGO,1586,737-800,24,4,28,4,6,28,,,,,4,4
2019-05-17 00:15,KMG,1798,737-800,25,6,25,6,7,26,,,,,0,1
2019-05-17 00:10,URC,5611,737-800,15,6,24,5,6,22,,,,,9,7
2019-05-17 00:09,URC,5636,737-800,9,5,22,5,4,23,,,,,13,14
2019-05-17 00:06,CAN,1795,737-800,30,4,34,5,5,34,,,,,4,4
2019-05-17 00:04,HAK,7167,737-800,29,6,34,7,6,34,,,,,5,5
2019-05-17 00:03,CKG,1538,737-800,23,2,28,3,3,28,,,,,5,5
2019-05-16 23:55,HAK,7399,737-800,29,4,34,5,3,31,,,,,5,2
2019-05-16 23:53,CGO,7398,737-800,25,5,30,4,4,30,,,,,5,5
2019-05-16 23:45,DLC,7400,737-800,21,6,26,4,4,26,,,,,5,5
2019-05-16 23:42,SYX,5337,737-800,28,4,36,5,5,35,,,,,8,7
2019-05-16 23:39,URC,1568,737-800,10,4,24,4,4,20,,,,,14,10
2019-05-16 23:38,PEK,7171,737-800,28,4,26,3,3,28,,,,,-2,0
2019-05-16 23:34,CGO,5522,737-800,25,5,30,9,9,30,,,,,5,5
2019-05-16 23:31,HGH,1786,737-800,24,4,30,4,4,28,,,,,6,4
2019-05-16 23:29,MIG,5407,737-800,25,4,28,5,4,28,,,,,3,3
2019-05-16 23:29,CAN,1497,737-800,31,4,36,4,4,35,,,,,5,4
2019-05-16 23:10,URC,7198,737-800,12,3,22,4,4,20,,,,,10,8
2019-05-16 22:53,XNN,5852,737-800,15,4,20,4,4,20,,,,,5,5
2019-05-16 22:51,DLC,1505,737-800,17,3,28,3,3,26,,,,,11,9
2019-05-16 22:46,XNN,1131,737-800,15,5,20,5,5,20,,,,,5,5
2019-05-16 22:31,HAK,206H,737-800,29,5,35,3,2,34,,,,,6,5
2019-05-16 22:29,XNN,5853,737-800,15,4,20,4,4,20,,,,,5,5
2019-05-16 22:28,CKG,5462,737-800,24,4,30,4,4,30,,,,,6,6
2019-05-16 22:16,PEK,1492,737-800,27,4,30,2,2,28,,,,,3,1
2019-05-16 22:13,HAK,1548,737-800,29,4,34,5,4,31,,,,,5,2
2019-05-16 22:05,DLC,5138,737-800,21,4,26,4,4,26,,,,,5,5
2019-05-16 21:54,URC,1323,737-800,10,2,22,2,2,22,,,,,12,12
2019-05-16 21:44,ZGC,1498,737-800,15,7,22,8,7,23,,,,,7,8
2019-05-16 21:43,URC,206P,737-800,10,4,22,5,5,20,,,,,12,10
2019-05-16 21:42,HAK,1503,737-800,30,3,36,4,5,32,,,,,6,2
2019-05-16 21:38,DLC,1346,737-800,21,6,27,4,6,26,,,,,6,5
2019-05-16 21:27,TYN,1495,737-800,25,4,24,4,5,24,,,,,-1,-1
2019-05-16 20:56,PEK,5579,737-800,28,6,34,6,6,30,,,,,6,2
2019-05-16 20:35,DLC,7173,737-800,22,6,28,4,4,26,,,,,6,4
2019-05-16 20:14,KMG,7989,737-800,33,5,27,6,6,27,,,,,-6,-6
2019-05-16 19:58,HAK,5082,737-800,32,9,37,8,8,36,1,,散热器扩散管破损,1散热器扩散管破损,5,4
2019-05-16 19:54,HAK,5465,737-800,31,7,36,7,6,37,,,,,5,6
2019-05-16 19:48,URC,205V,737-800,13,5,28,4,5,22,,,,,15,9
2019-05-16 19:47,HGH,1502,737-800,23,3,30,3,4,30,,,,,7,7
2019-05-16 17:30,URC,1569,737-800,13,2,24,2,2,22,,,,,11,9
2019-05-16 17:24,YIH,7395,737-800,26,6,30,6,6,30,,,,,4,4
2019-05-16 16:40,HHA,6066,737-800,23,3,28,4,3,27,,,,,5,4
2019-05-16 14:30,XUZ,6800,737-800,25,4,30,4,4,28,,,,,5,3
2019-05-16 11:43,XIY,5375,737-800,24,1,24,4,3,25,,,,,0,1
2019-05-16 11:05,CTU,7992,737-800,25,3,30,8,6,26,,,,,5,1
2019-05-16 08:22,ZGC ,1493,737-800,15,5,21,7,8,20,,,,,6,5
2019-05-16 08:20,ZGC ,5580,737-800,15,5,22,6,7,19,,,,,7,4
2019-05-16 08:15,HHA,5478,737-800,21,3,28,3,2,25,,,,,7,4
2019-05-16 08:10,PEK,5406,737-800,25,4,28,4,8,36,,1,,1,3,11
2019-05-16 08:08,DLC,5138,737-800,20,6,26,4,4,28,,,,,6,8
2019-05-16 08:07,CGO,5465,737-800,20,3,26,4,3,28,,,,,6,8
2019-05-16 07:46,HAK,1542,737-800,28,2,32,3,3,31,,,,,4,3
2019-05-16 07:31,XMN,5135,737-800,25,8,35,3,3,32,1,,,1,10,7
2019-05-16 07:30,XMN,5686,737-800,25,6,28,6,6,29,,,,,3,4
2019-05-16 07:30,XMN,1489,737-800,25,6,32,7,6,30,,,,,7,5
2019-05-16 07:29,XMN,1735,737-800,26,4,32,4,4,28,,,,,6,2
2019-05-16 06:59,PEK,1727,737-800,21,6,30,6,6,26,,,,,9,5
2019-05-16 06:57,FOC,1906,737-800,23,6,32,6,5,30,,,,,9,7
2019-05-16 06:57,HHA,5581,737-800,20,4,20,4,4,26,,,,,0,6
2019-05-16 06:56,FOC,1906,737-800,23,6,34,6,6,32,,,,,11,9
2019-05-16 06:56,CKG,5141,737-800,20,2,22,6,6,26,,,,,2,6
2019-05-16 06:33,KMG,7990,737-800,20,3,26,4,4,24,,,,,6,4
2019-05-16 06:29,PEK,7171,737-800,20,4,25,5,5,25,,,,,5,5
2019-05-16 06:20,HAK,206H,737-800,27,3,32,4,4,32,,,,,5,5
2019-05-16 06:14,SZC,1386,737-800,28,4,34,3,3,32,,,,,6,4
2019-05-16 05:39,URC,205T,737-800,10,3,24,3,3,25,,,,,14,15
2019-05-16 05:37,URC,6995,737-800,10,4,24,5,5,22,,,,,14,12
2019-05-16 05:37,URC,5636,737-800,12,6,28,8,6,27,,,,,16,15
2019-05-16 05:37,URC,1323,737-800,8,4,22,4,4,21,,,,,14,13
2019-05-16 05:36,URC,1325,737-800,11,4,14,5,7,19,,,,,3,8
2019-05-16 05:36,URC,5661,737-800,11,4,21,4,6,24,,,,,10,13
2019-05-16 05:35,URC,5797,737-800,11,4,24,4,6,24,,,,,13,13
2019-05-16 05:34,URC,1568,737-800,12,6,27,5,6,23,,,,,15,11
2019-05-16 05:32,HGH,1498,737-800,22,5,31,4,4,28,,,,,9,6
2019-05-16 05:26,XIY,5346,737-800,20,4,26,4,4,26,,,,,6,6
2019-05-16 05:09,HAK,5502,737-800,25,4,36,4,5,32,1,,,1,11,7
2019-05-16 05:04,HAK,5467,737-800,28,6,33,6,3,31,,,,,5,3
2019-05-16 04:44,PEK,5439,737-800,20,4,24,4,4,24,,,,,4,4
2019-05-16 04:43,CAN,1491,737-800,29,4,36,6,5,36,,,,,7,7
2019-05-16 04:34,TYN,6060,737-800,15,5,24,4,4,22,,,,,9,7
2019-05-16 04:31,PEK,5538,737-800,20,8,33,3,3,34,1,1,,11,13,14
2019-05-16 04:31,HHA,6066,737-800,19,3,28,2,2,27,,,,,9,8
2019-05-16 04:25,KMG,7167,737-800,19,5,26,6,6,25,,,,,7,6
2019-05-16 04:25,PEK,7619,737-800,20,4,26,4,4,24,,,,,6,4
2019-05-16 04:18,XIY,1797,737-800,24,3,23,4,3,25,,,,,-1,1
2019-05-16 04:11,XIY,1161,737-800,21,4,28,3,3,24,,,,,7,3
2019-05-16 04:10,XIY,5116,737-800,22,5,25,5,4,24,,,,,3,2
2019-05-16 04:08,FOC,5712,737-800,21,2,27,0,0,0,,,,,6,-21
2019-05-16 04:04,SYX,5522,737-800,30,6,36,6,6,35,,,,,6,5
2019-05-16 04:01,HAK,5429,737-800,26,4,30,7,6,33,,,,,4,7
2019-05-16 03:54,W112,5483,737-800,22,4,30,5,4,28,,,,,8,6
2019-05-16 03:53,FOC,5712,737-800,25,1,26,1,1,27,,,,,1,2
2019-05-16 03:51,绵阳,6809,737-800,22,6,26,5,6,26,,,,,4,4
2019-05-16 03:40,HAK,1785,737-800,27,3,34,3,2,30,,,,,7,3
2019-05-16 03:39,XIY,1902,737-800,21,3,28,4,4,24,,,,,7,3
2019-05-16 03:38,KMG,1798,737-800,20,6,24,5,5,23,,,,,4,3
2019-05-16 03:34,XIY,5735,737-800,30,4,24,3,3,24,,,,,-6,-6
2019-05-16 03:34,XIY,5182,737-800,24,2,26,3,2,25,,,,,2,1
2019-05-16 03:33,XIY,1348,737-800,22,4,24,6,7,22,,,,,2,0
2019-05-16 03:31,KMG,7988,737-800,19,4,28,5,4,26,,,,,9,7
2019-05-16 03:26,FOC,1480,737-800,23,4,24,4,4,24,,,,,1,1
2019-05-16 03:16,SYX,1102,737-800,30,6,36,5,4,36,,,,,6,6
2019-05-16 03:12,SYX,206F,737-800,30,3,35,4,3,35,,,,,5,5
2019-05-16 03:02,HAK,1495,737-800,26,4,34,4,5,34,,,,,8,8
2019-05-16 02:55,URC,5611,737-800,15,6,24,4,5,22,,,,,9,7
2019-05-16 02:52,URC,2159,737-800,15,5,20,2,1,18,,,,,5,3
2019-05-16 02:51,SYX,1997,737-800,29,5,34,4,4,34,,,,,5,5
2019-05-16 02:50,HAK,1793,737-800,27,6,32,6,5,36,,,,,5,9
2019-05-16 02:48,CGO,5462,737-800,20,3,26,4,4,28,,,,,6,8
2019-05-16 02:47,HHA,1492,737-800,23,3,28,4,3,27,,,,,5,4
2019-05-16 02:47,CGO,1587,737-800,21,4,28,4,4,26,,,,,7,5
2019-05-16 02:44,HAK,5137,737-800,29,5,31,5,5,32,,,,,2,3
2019-05-16 02:44,SYX,7379,737-800,30,4,35,4,4,35,,,,,5,5
2019-05-16 02:43,SHA,5620,737-800,20,3,30,2,3,26,,,,,10,6
2019-05-16 02:41,ZGC,5580,737-800,15,5,22,6,7,19,,,,,7,4
2019-05-16 02:35,HHA,1347,737-800,25,4,30,3,3,28,,,,,5,3
2019-05-16 02:34,FOC,7395,737-800,23,6,30,6,6,30,,,,,7,7
2019-05-16 02:34,XIY,6062,737-800,15,4,18,5,4,25,,,,,3,10
2019-05-16 02:33,HAK,6103,737-800,30,7,36,5,5,36,,,,,6,6
2019-05-16 02:32,SYX,7618,737-800,28,5,32,6,5,34,,,,,4,6
2019-05-16 02:30,CAN,5853,737-800,28,5,33,6,6,30,,,,,5,2
2019-05-16 02:26,HGH,1505,737-800,23,4,30,4,4,26,,,,,7,3
2019-05-16 02:25,XIY,1483,737-800,22,4,26,5,5,24,,,,,4,2
2019-05-16 02:23,XIY,5139,737-800,25,4,26,8,6,28,,,,,1,3
2019-05-16 02:23,HAK,1372,737-800,27,5,32,5,6,32,,,,,5,5
2019-05-16 02:19,XIY,1162,737-800,25,4,23,3,4,24,,,,,-2,-1
2019-05-16 02:19,XIY,5180,737-800,23,6,30,6,6,26,,,,,7,3
2019-05-16 02:14,SZX,1733,737-800,28,3,34,4,4,31,,,,,6,3
2019-05-16 02:12,PEK,5579,737-800,23,6,29,6,6,28,,,,,6,5
2019-05-16 02:11,XMN,5135,737-800,25,8,35,3,3,32,,,,,10,7
2019-05-16 02:10,XMN,1498,737-800,25,6,32,7,5,30,,,,,7,5
2019-05-16 02:09,XIY,5153,737-800,23,4,26,4,6,28,,,,,3,5
2019-05-16 02:08,XMN,1735,737-800,26,4,32,4,4,28,,,,,6,2
2019-05-16 02:07,CKG,5733,737-800,21,6,30,6,5,30,,,,,9,9
2019-05-16 02:06,SHA,1501,737-800,20,6,32,6,6,28,1,,,1,12,8
2019-05-16 02:04,CAN,5371,737-800,29,9,36,8,9,36,,,,,7,7
2019-05-16 02:01,URC,1726,737-800,20,3,24,2,2,21,,,,,4,1
2019-05-16 02:01,XIY,1903,737-800,20,2,26,2,2,28,,,,,6,8
2019-05-16 01:59,PEK,1785,737-800,22,0,29,7,8,29,,,,,7,7
2019-05-16 01:57,CKG,1215,737-800,20,3,28,2,2,28,,,,,8,8
2019-05-16 01:55,DLC,7173,737-800,20,4,26,4,4,26,,,,,6,6
2019-05-16 01:53,DLC,1346,737-800,20,4,26,4,4,24,,,,,6,4
2019-05-16 01:52,SZX,5417,737-800,28,5,31,5,4,30,,,,,3,2
