日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,右边FWD DUCT,右边AFT DUCT,右边L PACK,执行反吹左侧,执行反吹右侧,更换部件,Fail,左温差,右温差
2019-06-20 23:51,CAN,1490,737-800,30,5,35,4,5,35,,,,,5,5
2019-06-20 23:51,XIY,1799,737-800,30,5,35,6,4,30,,,,,5,0
2019-06-20 23:51,CAN,5346,737-800,30,7,36,5,5,35,,,,,6,5
2019-06-20 23:49,PEK ,1375,737-800,28,8,34,4,4,30,,,,,6,2
2019-06-20 23:48,徐州,7989,737-800,27,6,32,8,7,35,,,,,5,8
2019-06-20 23:42,CGO,5153,737-800,24,4,29,4,3,27,,,,,5,3
2019-06-20 23:33,URC,1570,737-800,24,6,30,6,6,25,,,,,6,1
2019-06-20 23:27,PEK,5687,737-800,25,5,27,7,4,32,,,,,2,7
2019-06-20 23:26,HAK,5137,737-800,30,6,30,5,5,34,,,,,0,4
2019-06-20 23:25,绵阳,7990,737-800,26,3,32,3,3,30,,,,,6,4
2019-06-20 23:13,CAN,5520,737-800,30,6,36,6,6,36,,,,,6,6
2019-06-20 23:13,TYN,1503,737-800,27,4,28,4,4,28,,,,,1,1
2019-06-20 23:09,HAK,5853,737-800,29,7,36,5,6,32,,,,,7,3
2019-06-20 23:09,CGO,1569,737-800,24,2,27,2,2,25,,,,,3,1
2019-06-20 23:04,HGH,5462,737-800,24,4,30,4,4,23,,,,,6,-1
2019-06-20 22:57,URC,6995,737-800,22,4,30,6,5,24,,,,,8,2
2019-06-20 22:47,CKG,7616,737-800,26,4,28,4,6,28,,,,,2,2
2019-06-20 22:42,HGH,5358,737-800,26,6,26,4,6,28,,,,,0,2
2019-06-20 22:15,HAK,1373,737-800,29,4,35,4,5,32,,,,,6,3
2019-06-20 22:05,HAK,5733,737-800,29,8,36,6,6,33,,,,,7,4
2019-06-20 22:03,西宁,5136,737-800,23,4,25,4,4,30,,,,,2,7
2019-06-20 22:03,URC,205U,737-800,22,1,26,3,1,27,,,,,4,5
2019-06-20 22:01,TYN,6808,737-800,28,4,28,4,4,28,,,,,0,0
2019-06-20 21:47,HAK,206F,737-800,31,3,36,3,3,32,,,,,5,1
2019-06-20 20:53,SHE,6063,737-800,25,5,32,4,4,30,,,,,7,5
2019-06-20 20:53,FOC,5503,737-800,30,4,31,4,3,31,,,,,1,1
2019-06-20 20:33,HAK,5082,737-800,30,8,37,8,8,36,,,,,7,6
2019-06-20 20:27,CGO,5855,737-800,24,6,28,6,6,28,,,,,4,4
2019-06-20 20:25,HAK,1783,737-800,31,4,36,6,5,37,,,,,5,6
2019-06-20 20:00,FOC,5503,737-800,30,4,31,4,3,31,,,,,1,1
2019-06-20 19:31,PEK,1102,737-800,30,4,32,3,4,32,,,,,2,2
2019-06-20 19:05,URC,206P,737-800,25,4,26,4,4,20,,,,,1,-5
2019-06-20 18:44,HGH,1492,737-800,24,4,32,3,3,33,,,,,8,9
2019-06-20 18:26,SYX,1541,737-800,33,7,36,8,9,37,,,,,3,4
2019-06-20 17:17,TYN,5373,737-800,30,6,26,7,6,28,,,,,-4,-2
2019-06-20 15:48,XIY,1493,737-800,23,5,27,6,6,26,,,,,4,3
2019-06-20 13:44,PEK,1213,737-800,34,6,32,4,6,34,,,,,-2,0
2019-06-20 12:07,CTU,1209,737-800,30,3,36,4,4,35,,,,,6,5
2019-06-20 11:05,CGO,1489,737-800,23,6,30,4,5,30,,,,,7,7
2019-06-20 09:58,KMG,5409,737-800,20,4,24,4,4,26,,,,,4,6
2019-06-20 09:08,KMG,1587,737-800,20,5,26,5,4,28,,,,,6,8
2019-06-20 08:48,YIH,1350,737-800,28,5,29,4,5,28,,,,,1,0
2019-06-20 08:46,DLC,1487,737-800,21,3,30,3,2,27,,,,,9,6
2019-06-20 08:45,DLC,7173,737-800,20,5,30,6,6,28,,,,,10,8
2019-06-20 08:30,PEK,1729,737-800,26,4,29,5,5,31,,,,,3,5
2019-06-20 08:22,KMG,7993,737-800,17,9,30,5,5,25,,,,,13,8
2019-06-20 07:24,ZGC,5636,737-800,19,6,18,5,6,18,,,,,-1,-1
2019-06-20 07:22,KMG,5449,737-800,20,5,34,6,6,30,,,,,14,10
2019-06-20 07:22,ZGC,5359,737-800,20,4,24,4,5,27,,,,,4,7
2019-06-20 07:20,ZGC,1797,737-800,20,6,18,4,5,20,,,,,-2,0
2019-06-20 07:18,ZGC,5480,737-800,20,6,24,7,6,25,,,,,4,5
2019-06-20 07:03,PEK,6066,737-800,25,6,34,6,6,32,,,,,9,7
2019-06-20 07:02,XIY,5116,737-800,20,3,26,4,4,25,,,,,6,5
2019-06-20 06:50,PEK,5623,737-800,25,4,34,4,5,34,,,,,9,9
2019-06-20 06:45,FOC,1906,737-800,28,5,34,6,5,35,,,,,6,7
2019-06-20 06:42,XIY,5373,737-800,21,6,29,6,6,28,,,,,8,7
2019-06-20 06:35,XIY,1351,737-800,22,5,30,5,4,31,,,,,8,9
2019-06-20 06:25,XMN,5465,737-800,28,8,36,6,8,36,,,,,8,8
2019-06-20 06:24,XMN,5405,737-800,26,6,36,5,4,24,1,,,1,10,-2
2019-06-20 06:23,XMN,7398,737-800,30,8,36,8,8,36,,,,,6,6
2019-06-20 06:23,XMN,7172,737-800,27,8,36,8,7,35,,,,,9,8
2019-06-20 06:18,HGH,5580,737-800,25,5,31,4,3,34,,,,,6,9
2019-06-20 06:09,KMG,7988,737-800,20,4,28,4,3,28,,,,,8,8
2019-06-20 06:03,PEK,1549,737-800,25,4,34,4,4,32,,,,,9,7
2019-06-20 05:59,URC,1726,737-800,26,4,28,4,4,30,,,,,2,4
2019-06-20 05:49,URC,1568,737-800,22,3,24,4,5,23,,,,,2,1
2019-06-20 05:48,URC,5467,737-800,25,2,22,2,2,22,,,,,-3,-3
2019-06-20 05:35,CAN,1785,737-800,30,3,35,5,6,35,,,,,5,5
2019-06-20 05:20,HGH,1547,737-800,28,4,30,4,4,32,,,,,2,4
2019-06-20 05:15,URC,1323,737-800,21,3,31,3,3,28,,,,,10,7
2019-06-20 05:04,MIG,5732,737-800,26,4,30,5,4,30,,,,,4,4
2019-06-20 05:02,FOC,1435,737-800,27,5,34,5,5,31,,,,,7,4
2019-06-20 05:01,FOC,1435,737-800,28,8,40,6,5,31,,,,,12,3
2019-06-20 05:00,CKG,7616,737-800,25,4,28,6,5,26,,,,,3,1
2019-06-20 04:55,XIY,5428,737-800,24,4,26,5,4,30,,,,,2,6
2019-06-20 04:44,CAN,1505,737-800,28,5,32,4,4,32,,,,,4,4
2019-06-20 04:42,SZX,5403,737-800,29,8,37,8,7,35,,,,,8,6
2019-06-20 04:41,FOC,7395,737-800,28,6,34,7,6,36,,,,,6,8
2019-06-20 04:40,FOC,7395,737-800,28,15,43,7,6,36,,,,,15,8
2019-06-20 04:37,XIY,1903,737-800,21,2,30,2,3,28,,,,,9,7
2019-06-20 04:34,SYX,6063,737-800,30,8,37,6,4,36,,,,,7,6
2019-06-20 04:34,HHA,5709,737-800,29,6,36,7,7,35,,,,,7,6
2019-06-20 04:32,URC,6268,737-800,25,4,26,4,5,26,,,,,1,1
2019-06-20 04:31,FOC,5687,737-800,27,4,30,4,4,32,,,,,3,5
2019-06-20 04:30,FOC,5687,737-800,27,4,30,4,4,32,,,,,3,5
2019-06-20 04:26,TYN ,5083 ,737-800,24,4,18,4,4,18,,,,,-6,-6
2019-06-20 04:25,KMG,6015,737-800,20,4,32,4,4,24,,,,,12,4
2019-06-20 04:17,HGH,1491,737-800,24,6,33,6,5,32,,,,,9,8
2019-06-20 04:16,CAN,5346,737-800,28,7,35,8,8,32,,,,,7,4
2019-06-20 04:14,HAK,1503,737-800,28,3,37,4,4,37,,,,,9,9
2019-06-20 04:10,SZX,1215,737-800,29,8,36,8,6,36,,,,,7,7
2019-06-20 04:07,URC,1102,737-800,25,4,25,3,4,26,,,,,0,1
2019-06-20 04:06,URC,5855,737-800,23,6,29,6,6,26,,,,,6,3
2019-06-20 04:04,HAK,1997,737-800,30,5,36,3,3,34,,,,,6,4
2019-06-20 03:58,CAN,1490,737-800,30,5,35,6,5,35,,,,,5,5
2019-06-20 03:58,XIY,5115,737-800,21,4,20,6,5,18,,,,,-1,-3
2019-06-20 03:54,HGH,5338,737-800,26,2,28,4,3,32,,,,,2,6
2019-06-20 03:52,SYX,5439,737-800,30,8,36,6,7,35,,,,,6,5
2019-06-20 03:52,HAK,7618,737-800,30,4,36,4,4,36,,,,,6,6
2019-06-20 03:49,URC,1570,737-800,22,4,26,4,4,24,,,,,4,2
2019-06-20 03:47,URC,1929,737-800,20,2,20,2,3,24,,,,,0,4
2019-06-20 03:42,SYX,5153,737-800,29,7,36,4,4,32,,,,,7,3
2019-06-20 03:40,FOC,7113,737-800,28,7,36,6,6,35,,,,,8,7
2019-06-20 03:39,XIY,5180,737-800,22,5,30,5,5,30,,,,,8,8
2019-06-20 03:38,HHA,5709,737-800,29,6,36,7,7,38,,,,,7,9
2019-06-20 03:33,URC,5713,737-800,22,4,22,5,6,22,,,,,0,0
