机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73N,73N00163,5061    ,DE    ,CC    ,2206400-2               ,76-104          ,21    ,X,X,FAIL  ,2010-07-28,35442:46,24663,20200:41,10030,2012-01-02,40028:25,27895,24786:20,13262,航前反映左组件空调跳开.王家祥PF the left pack fault,4585:39,"     航前按MEL21-01-01-01放行,在不工作的左组件电门上贴不工作标牌.王家祥PF dispatch the A/C refer to MEL21-01-01-01FLB10503733B航后检查发现左组件ACM叶片断裂,ACM卡阻,更换ACM左组件测试正常.眭荣慧AF check and found left pack ACM vane broken ACM block replaceACM the left pack test ok",3232,2206400-2               ,2736            ,武汉航达,27137,51361.34,4585:39,3232,(AOG)AIR CYCLE MACHINE（包修）                              ,1441639,10503730
73N,73N02981,5481    ,DE    ,CC    ,2206400-2               ,6411            ,21    ,X,X,FAIL  ,2009-07-16,00:00,0,00:00,0,2011-05-13,5966:06,3077,5966:06,3077,,5966:06,"     过站完成DD201104155 根据AMM21-51-04 更换左组件ACM 测试左组件工作正常各管路无渗漏自检ZTC无信息,并撤除此DD 李瑶松TR Accomplish DD201104155 refer to AMM21-51-04 replace theACM of L pack and test ok close the DD201104155PACKING:S90267154PACKING:S90267230",3077,2206400-2               ,6197            ,,14424,27933.34,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1237480,10507173
73N,73N02459,5359    ,DE    ,CC    ,2206400-2               ,5362            ,21    ,X,X,FAIL  ,2007-11-28,00:00,0,00:00,0,2011-04-29,11374:13,5760,11374:13,5760,"右组件PACK在空中间断亮,机组多次复位请检查",11374:13,  航后依据AMM21-31-04更换ACM测试正常AF replace the ACM test ok刘鹤嵩,5760,2206400-2               ,2303            ,,25695,50022.13,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1226228,10509183
73N,73N00067,2636    ,DE    ,CC    ,2206400-2               ,2321            ,21    ,X,X,FAIL  ,2008-06-05,33380:00,17820,21050:15,10782,2012-02-23,45294:15,24000,32964:30,16962,"地面左组件灯亮,复位短暂后又亮.  机组",11914:15,"      航前测试左组件冲压空气,判断为左组件ACM失效,参考MEL21-01-01-01放行.杜磊    PF test L pach no air for rush judge the ACM fault of theL park refer tp MEL21-01-01-01 dispatch.FL10510633A 航后在区域控制器上测试无故障信息,根据AMM21-51 检查ACM故障,更换新件后,测试工作正常.   郝崇庆AF read zone controller is no fault message refer AMM21-51 checkand found is ACM fault the replaced it and test is ok",6180,2206400-2               ,6296            ,武汉航达,8037,15244.2,12492:52,6499,(AOG)AIR CYCLE MACHINE（包修）                              ,1495678,10510633
73N,73N00154,5060    ,DE    ,CC    ,2206400-2               ,107-386         ,21    ,X,X,FAIL  ,2012-05-20,41624:36,27497,21702:56,10743,2012-10-04,42486:54,28201,22565:14,11447,,862:18,"   FROM FLB10510732A 航后更换左组件ACM，测试工作正常，撤除DD201212260 AFreplace left pack ACM,which works normal in test and closeDD201212260   张开河　检验张伟　挂签号2015521 封圈2-158S604-70gasket:2215108-1",704,2206400-2               ,4526            ,武汉航达,20838,34521.47,3140:14,1827,(AOG)AIR CYCLE MACHINE（包修）                              ,1739831,10510738
73N,73N00515,5081    ,DE    ,CC    ,2206400-2               ,2412            ,21    ,X,X,FAIL  ,2008-06-05,28524:22,13521,22486:18,11296,2012-09-22,43244:59,21277,37206:55,19052,FROM    FLB10512073B,14720:37,"   依据AMM21-51-04更换左空调组件ACM,地面测试正常.撤除DD201211675,挂签号:2012668      余波Refer to AMM21-51-04 to replace the ACM of R A/C test is ok removeDD201211675 TAG:2012668",7756,2206400-2               ,6203            ,武汉航达,9364,18295.23,14720:37,7756,(AOG)AIR CYCLE MACHINE（包修）                              ,1727227,10512076
73N,73N01796,5136    ,DE    ,CC    ,2206400-2               ,4526            ,21    ,X,X,FAIL  ,2011-03-02,15983:24,7980,13982:32,9403,2011-08-16,17404:43,8716,15403:51,10139,,1421:19,  左组件制冷效果不好航后依据AMM21-51-04更换ACM 测试良好.挂签号1000800refer pack no cool engough AF refer to AMM21-51-04 replaced the ACMtest ok.,736,2206400-2               ,77-324          ,武汉航达,16224,32942.33,1421:19,736,(AOG)AIR CYCLE MACHINE（包修）                              ,1316772,10514910
73N,73N00551,5089    ,DE    ,CC    ,2206400-2               ,118-878         ,21    ,X,X,FAIL  ,2014-05-02,39696:06,24600,33778:41,16983,2014-06-12,40050:16,24763,34132:51,17146,短停左空调组件超温 TR pack 1 overheat 温国华,354:10,"   依据MEL21-01-01-01放行,使用右空调组件单独工作,回基地处理 ref toMEL21-01-01-01 dispatch 温国华 FL0516041过站排故,依据AMM21-81更换左侧ACM测试正常 TR replace L ACM test ok刘金龙 吴佑胜",163,2206400-2               ,898-5138        ,北京丰荣,8,17.47,354:10,163,(AOG)AIR CYCLE MACHINE（包修）                              ,2636573,10516041
73N,73N00551,5089    ,DE    ,CC    ,2206400-2               ,3997            ,21    ,X,X,FAIL  ,2014-04-29,39673:13,24590,28302:34,14186,2014-06-12,40050:16,24763,28679:37,14359,,377:03,  航后完成MCO-2014-06-09-07更换右组件ACM地面测试正常accomplish MCO replace R pack ACM and test ok程全,173,2206400-2               ,38-611          ,北京丰荣,8820,13282.17,377:03,173,(AOG)AIR CYCLE MACHINE（包修）                              ,2636587,10516043
73N,73N00551,5089    ,DE    ,CC    ,2206400-2               ,898-5138        ,21    ,X,X,FAIL  ,2014-06-12,40050:16,24763,00:00,0,2014-06-14,40068:03,24771,17:47,8,FL10516049A,17:47,"    航后完成MCO-2014-06-14-28,依据AMM21-51-04更换左组件ACM,依据AMM21-51-03更换左组件主次级散热器,测试在市场.史宇峰,张大明 AF accomplishMCO-2014-06-14-28 refer to AMM21-51-04 replace the left packACM,refer to AMM21-51-03 replace the left pack heat exchanger, testit normal 挂签号4111118,4099037,4099035",8,2206400-2               ,76-105          ,,32412,56316.32,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,2639706,10516051
73N,73N01805,5137    ,DE    ,CC    ,2206400-2               ,3790            ,21    ,X,X,FAIL  ,2005-11-13,05:14,5,05:14,5,2011-11-30,17559:38,9082,17559:38,9082,,17554:24,"     航后完成DD201111578.更换右空调组件ACM和TCV,自检无故障灯信息.且长时间运行空调组件,空调工作正常.管路无渗漏.撤DD201111578.殷邦德AF accomplish DD201111578 replace the ACM and TCV at right assy,bite on ZTC unit no fault message.and make sure the right aircondition pack work for along time work normal.and no leakageof the duct assy close DD201111578.",9077,2206400-2               ,38-670          ,,31171,59413.2,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1409653,10516554
73N,73N00731,2652    ,DE    ,CC    ,2206400-2               ,2518            ,21    ,X,X,FAIL  ,2012-06-10,38366:41,19832,29796:08,17606,2012-06-15,38411:47,19852,29841:14,17626,更换右侧热交换器时发现右侧ACM接耳有裂纹 容易断裂.王志伟that the ACM of the right pack was broken,45:06, 依据AMM21-51更换右侧 ACM 测试工作正常.王志伟 林炜refer to AMM21-51 replace the ACM and test it works normal,20,2206400-2               ,38-678          ,武汉航达,20616,39855.55,45:06,20,(AOG)AIR CYCLE MACHINE（包修）                              ,1614522,1051659 
73N,73N00731,2652    ,DE    ,CC    ,2206400-2               ,2275            ,21    ,X,X,FAIL  ,2009-07-19,29764:24,14864,25029:38,12543,2012-06-10,38366:41,19832,33631:55,17511,,8602:17,"    过站依据AMM21-51-04更换右组件ACM,地面测试右组件工作正常,撤除DD201206717.黎明,赵健伟TR refer to AMM21-51-04 replace RH pack ACM,GND test the RH pack worknormal.close DD201206717挂签号0012414",4968,2206400-2               ,2518            ,武汉航达,27479,48348.46,10964:46,6296,(AOG)AIR CYCLE MACHINE（包修）                              ,1608712,10516645
73N,73N00607,2651    ,DE    ,CC    ,2206400-2               ,4920            ,21    ,X,X,FAIL  ,2010-06-18,34577:42,17738,7625:31,3856,2012-06-20,40703:14,20899,13751:03,7017,航前发现右组件不工作PF find R pack inop林炜,6125:32,        依据MEL21-01-01放行ref to MEL21-01-01 dispatch林炜FL10518559A航后依据AMM21-51-04更换ACM测试正常检查无渗漏AF replace ACM and test ok张卓亚 王忠义TAG.00123992206400-2/4920   2206400-2/5125,3161,2206400-2               ,5125            ,HONEYWELL,19105,35948,6125:32,3161,(AOG)AIR CYCLE MACHINE（包修）                              ,1618933,10518558
73N,73N01033,2158    ,DE    ,CC    ,2206400-2               ,119-1398        ,21    ,X,X,FAIL  ,2008-06-02,23232:52,11314,21305:45,16272,2012-02-18,35332:10,17323,33405:03,22281,航前机组报告右组件跳开组件灯亮.唐科 PF crew report the RH pack C/B RHpack light on,12099:18,"    航前按MEL21-01-01-01右组件禁用放行.唐科 PF refer to MEL21-01-01-01 RHpack INOP DISPATCH THE PLANE FLB10518938A为排除右组件PACK灯亮故障航后更换右组件ACM同时发现右TCV故障,更换TCV开空调测试正常.陈锐 For the R pack light on fault AF replace the RACM AF check and found the R TCV fail replace it and test ok",6009,2206400-2               ,38-713          ,武汉航达,31490,54257.19,12099:18,6009,(AOG)AIR CYCLE MACHINE（包修）                              ,1490041,10518935
73N,73N02042,5180    ,DE    ,CC    ,2206400-2               ,38-678          ,21    ,X,X,FAIL  ,2007-06-05,2719:19,1426,4787:57,2302,2012-04-22,19459:42,9594,21528:20,10470,,16740:23,"   航后完成DD201204738依据AMM21-51-04更换右组件ACM,测试正常.无渗漏.关闭DD201204738.颜健AF accomplished DD201204738 refer to AMM21-51-04 replace the ACMof right A/C pack test ok.",8168,2206400-2               ,6411            ,,15052,27298.07,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1559181,10521670
73N,73N00273,2646    ,DE    ,CC    ,2206400-2               ,2518            ,21    ,X,X,FAIL  ,2012-05-20,44167:05,22620,29796:08,17606,2012-05-20,44167:05,22620,29796:08,17606,,00:00,"       FROM FLB10553511B航后为关闭5060飞机DD201205893依据AMM21-51-04将本机右组件ACM安装至5060左组件检查无气体渗漏,工作正常.AF for the 5060 DD201205893 refer to AMM21-51-04 installed theright ACM to the 5060 left ACM no leakage and normal.权强FL10523626B航材到料后更换右组件ACM检查无渗漏,工作正常,依据AMM21-51-04 TAG0007352Replace the R ACM check no leakage and normal refer to AMM21-51-04",0,2206400-2               ,6071            ,武汉航达,14798,29273.05,8266:29,5911,(AOG)AIR CYCLE MACHINE（包修）                              ,1588185,10523626
73N,73N02330,5338    ,DE    ,CC    ,2206400-2               ,5125            ,21    ,X,X,FAIL  ,2007-07-12,00:00,0,00:00,0,2012-05-27,16032:44,8145,16032:44,8145,过站发现右空调组件PACK灯亮,16032:44,  依据MEL21-01完成M项告知机组右O项飞行放行 ref to MEL21-01 dispatchXMN机务 FL10526627B 航后依据AMM21-51-04更换空气循环机测试正常 AFreplace the air cycle mochine 吴佑胜 TAG.0002653,8145,2206400-2               ,119-1581        ,,12974,25483.46,, ,(AOG)AIR CYCLE MACHINE（包修）                              ,1594727,10526626
